component,layer,index,delta_loss,delta_accuracy,seed,step
mlp_group,1,6,0.00032139322138391435,0.0,1,400
mlp_group,1,7,0.0004892913566436619,0.0,1,400
head,0,0,0.5158506159496028,0.1487889289855957,1,500
head,0,1,0.9707117204379756,0.25259512662887573,1,500
head,0,2,0.8914057736110408,0.25259512662887573,1,500
head,0,3,1.1054747228336055,0.25951558351516724,1,500
mlp_group,0,0,0.0009992395353037864,0.0,1,500
mlp_group,0,1,0.00012507796054705977,0.0,1,500
mlp_group,0,2,0.006164733582409099,0.0,1,500
mlp_group,0,3,0.0002358777855988592,0.0,1,500
mlp_group,0,4,0.005016344861360267,0.0,1,500
mlp_group,0,5,0.0010597755026537925,0.0,1,500
mlp_group,0,6,0.006569685210706666,0.003460228443145752,1,500
mlp_group,0,7,0.0006039478757884353,0.0,1,500
head,1,0,0.19920594737050124,0.05882352590560913,1,500
head,1,1,0.3438419227313716,0.13840830326080322,1,500
head,1,2,0.9703794841479976,0.27681660652160645,1,500
head,1,3,0.35027612492558546,0.07958477735519409,1,500
mlp_group,1,0,0.00016779752331785858,0.0,1,500
mlp_group,1,1,0.0001318510330747813,0.0,1,500
mlp_group,1,2,0.000319546990795061,0.0,1,500
mlp_group,1,3,0.00021924395696260035,0.0,1,500
mlp_group,1,4,0.00017298528109677136,0.0,1,500
mlp_group,1,5,0.00031489625689573586,0.0,1,500
mlp_group,1,6,0.00025200124946422875,0.0,1,500
mlp_group,1,7,0.00039493959047831595,0.0,1,500
head,0,0,0.5233218829671387,0.15916955471038818,1,600
head,0,1,1.0056258003751282,0.24913495779037476,1,600
head,0,2,0.9066652219335083,0.24913495779037476,1,600
head,0,3,1.1340143244306091,0.26643598079681396,1,600
mlp_group,0,0,0.0009683606040198356,0.0,1,600
mlp_group,0,1,0.00010522943921387196,0.0,1,600
mlp_group,0,2,0.007479978405172005,0.003460228443145752,1,600
mlp_group,0,3,0.0002105076564475894,0.0,1,600
mlp_group,0,4,0.005513184383744374,0.0,1,600
mlp_group,0,5,0.0009663350938353688,0.0,1,600
mlp_group,0,6,0.007231719471747056,0.003460228443145752,1,600
mlp_group,0,7,0.000643654988380149,0.0,1,600
head,1,0,0.20602384317317046,0.05882352590560913,1,600
head,1,1,0.3590860824624542,0.13494807481765747,1,600
head,1,2,1.0094325106183533,0.2802768349647522,1,600
head,1,3,0.36018465567030944,0.07958477735519409,1,600
mlp_group,1,0,0.00013705930905416608,0.0,1,600
mlp_group,1,1,0.00010734054376371205,0.0,1,600
mlp_group,1,2,0.0002708636166062206,0.0,1,600
mlp_group,1,3,0.00018115289276465774,0.0,1,600
mlp_group,1,4,0.0001415472652297467,0.0,1,600
mlp_group,1,5,0.00026662161690182984,0.0,1,600
mlp_group,1,6,0.0002059338439721614,0.0,1,600
mlp_group,1,7,0.00033132635871879756,0.0,1,600
head,0,0,0.5314993099309504,0.15916955471038818,1,700
head,0,1,1.0362950400449336,0.25259512662887573,1,700
head,0,2,0.9210553602315485,0.24221456050872803,1,700
head,0,3,1.159550888929516,0.26643598079681396,1,700
mlp_group,0,0,0.0009561137994751334,0.0,1,700
mlp_group,0,1,9.12216491997242e-05,0.0,1,700
mlp_group,0,2,0.008866788353770971,0.0069203972816467285,1,700
mlp_group,0,3,0.00019261371926404536,0.0,1,700
mlp_group,0,4,0.00608407985419035,0.0,1,700
mlp_group,0,5,0.0009047230705618858,0.0,1,700
mlp_group,0,6,0.007795955520123243,0.003460228443145752,1,700
mlp_group,0,7,0.0006941917818039656,0.0,1,700
head,1,0,0.21232087770476937,0.05882352590560913,1,700
head,1,1,0.37428186694160104,0.13840830326080322,1,700
head,1,2,1.044445259962231,0.2837370038032532,1,700
head,1,3,0.3697629407979548,0.08650517463684082,1,700
mlp_group,1,0,0.0001154423807747662,0.0,1,700
mlp_group,1,1,9.018849232234061e-05,0.0,1,700
mlp_group,1,2,0.00023559926194138825,0.0,1,700
mlp_group,1,3,0.00015404669102281332,0.0,1,700
mlp_group,1,4,0.00011951761553063989,0.0,1,700
mlp_group,1,5,0.00023153217625804245,0.0,1,700
mlp_group,1,6,0.0001733458775561303,0.0,1,700
mlp_group,1,7,0.0002857751096598804,0.0,1,700
head,0,0,0.5399351043743081,0.16262978315353394,1,800
head,0,1,1.0634199304622598,0.2629757523536682,1,800
head,0,2,0.9348090810817666,0.245674729347229,1,800
head,0,3,1.1827130241435952,0.2698962092399597,1,800
mlp_group,0,0,0.0009543811320327222,0.0,1,800
mlp_group,0,1,8.085102308541536e-05,0.0,1,800
mlp_group,0,2,0.010288503777701408,0.0069203972816467285,1,800
mlp_group,0,3,0.00017943955026566982,0.0,1,800
mlp_group,0,4,0.006714477494824678,0.0,1,800
mlp_group,0,5,0.0008631672826595604,0.0,1,800
mlp_group,0,6,0.008275483560282737,0.003460228443145752,1,800
mlp_group,0,7,0.0007517796475440264,0.0,1,800
head,1,0,0.2181750608724542,0.05882352590560913,1,800
head,1,1,0.3892124815029092,0.14532870054244995,1,800
head,1,2,1.0761896295589395,0.2837370038032532,1,800
head,1,3,0.37898855638923123,0.08650517463684082,1,800
mlp_group,1,0,9.94760193862021e-05,0.0,1,800
mlp_group,1,1,7.757835555821657e-05,0.0,1,800
mlp_group,1,2,0.00020897347712889314,0.0,1,800
mlp_group,1,3,0.00013383416808210313,0.0,1,800
mlp_group,1,4,0.00010327951167710125,0.0,1,800
mlp_group,1,5,0.00020484434207901359,0.0,1,800
mlp_group,1,6,0.0001491930743213743,0.0,1,800
mlp_group,1,7,0.00025166355771943927,0.0,1,800
head,0,0,0.5483702003548387,0.1660899519920349,1,900
head,0,1,1.0876395880768541,0.2698962092399597,1,900
head,0,2,0.9480707227776293,0.245674729347229,1,900
head,0,3,1.2039733111450914,0.2698962092399597,1,900
mlp_group,0,0,0.0009586485393811017,0.0,1,900
mlp_group,0,1,7.291582005564123e-05,0.0,1,900
mlp_group,0,2,0.011713614832842723,0.0069203972816467285,1,900
mlp_group,0,3,0.00016943688387982547,0.0,1,900
mlp_group,0,4,0.007394948654109612,0.003460228443145752,1,900
mlp_group,0,5,0.0008350358402822167,0.0,1,900
mlp_group,0,6,0.008683581050718203,0.003460228443145752,1,900
mlp_group,0,7,0.0008139392884913832,0.0,1,900
head,1,0,0.22365300651290454,0.05882352590560913,1,900
head,1,1,0.4038050949166063,0.14532870054244995,1,900
head,1,2,1.1052546679566149,0.2837370038032532,1,900
head,1,3,0.3878730713913683,0.08650517463684082,1,900
mlp_group,1,0,8.726560918148607e-05,0.0,1,900
mlp_group,1,1,6.79389777360484e-05,0.0,1,900
mlp_group,1,2,0.0001882814394775778,0.0,1,900
mlp_group,1,3,0.00011824403190985322,0.0,1,900
mlp_group,1,4,9.086431236937642e-05,0.0,1,900
mlp_group,1,5,0.0001838881871663034,0.0,1,900
mlp_group,1,6,0.00013063583173789084,0.0,1,900
mlp_group,1,7,0.00022528154659084976,0.0,1,900
head,0,0,0.5566624321654672,0.1660899519920349,1,1000
head,0,1,1.1094791807845468,0.2698962092399597,1,1000
head,0,2,0.9609408297255868,0.245674729347229,1,1000
head,0,3,1.2236804880812997,0.2733563780784607,1,1000
mlp_group,0,0,0.0009663379896664992,0.0,1,1000
mlp_group,0,1,6.662364467047155e-05,0.0,1,1000
mlp_group,0,2,0.013125795187079348,0.0069203972816467285,1,1000
mlp_group,0,3,0.00016163986583705992,0.0,1,1000
mlp_group,0,4,0.008119360791170038,0.003460228443145752,1,1000
mlp_group,0,5,0.0008163789316313341,0.0,1,1000
mlp_group,0,6,0.009032636196934618,0.003460228443145752,1,1000
mlp_group,0,7,0.0008790530409896746,0.0,1,1000
head,1,0,0.2288069643691415,0.06228375434875488,1,1000
head,1,1,0.41805597326310817,0.14532870054244995,1,1000
head,1,2,1.1321031965926522,0.2871972322463989,1,1000
head,1,3,0.39644303104432765,0.08996540307998657,1,1000
mlp_group,1,0,7.760740118101239e-05,0.0,1,1000
mlp_group,1,1,6.033403042238206e-05,0.0,1,1000
mlp_group,1,2,0.00017176174151245505,0.0,1,1000
mlp_group,1,3,0.00010583153925836086,0.0,1,1000
mlp_group,1,4,8.105329470708966e-05,0.0,1,1000
mlp_group,1,5,0.00016694060468580574,0.0,1,1000
mlp_group,1,6,0.00011593646195251495,0.0,1,1000
mlp_group,1,7,0.00020428923016879708,0.0,1,1000
head,0,0,0.5647413447586587,0.15916955471038818,1,1100
head,0,1,1.1293678596703103,0.2733563780784607,1,1100
head,0,2,0.9734863951889565,0.24221456050872803,1,1100
head,0,3,1.2421139791695168,0.2733563780784607,1,1100
mlp_group,0,0,0.0009761021792655811,0.0,1,1100
mlp_group,0,1,6.155116716399789e-05,0.0,1,1100
mlp_group,0,2,0.01451008916774299,0.0069203972816467285,1,1100
mlp_group,0,3,0.00015546703070867807,0.0,1,1100
mlp_group,0,4,0.008883384623914026,0.003460228443145752,1,1100
mlp_group,0,5,0.0008046965085668489,0.0,1,1100
mlp_group,0,6,0.009333540321676992,0.003460228443145752,1,1100
mlp_group,0,7,0.0009460865840082988,0.0,1,1100
head,1,0,0.23368524164834525,0.06228375434875488,1,1100
head,1,1,0.43197253496327903,0.14532870054244995,1,1100
head,1,2,1.1570896223274758,0.2871972322463989,1,1100
head,1,3,0.4047317519871285,0.09342563152313232,1,1100
mlp_group,1,0,6.982918421272188e-05,0.0,1,1100
mlp_group,1,1,5.4212810937315226e-05,0.0,1,1100
mlp_group,1,2,0.00015835666272323579,0.0,1,1100
mlp_group,1,3,9.57424781518057e-05,0.0,1,1100
mlp_group,1,4,7.313519017770886e-05,0.0,1,1100
mlp_group,1,5,0.0001529739674879238,0.0,1,1100
mlp_group,1,6,0.00010404124623164535,0.0,1,1100
mlp_group,1,7,0.00018726142297964543,0.0,1,1100
head,0,0,0.5725891064357711,0.15916955471038818,1,1200
head,0,1,1.14765072571754,0.2733563780784607,1,1200
head,0,2,0.9857730935764266,0.245674729347229,1,1200
head,0,3,1.2594904969882919,0.2698962092399597,1,1200
mlp_group,0,0,0.0009874301467789337,0.0,1,1200
mlp_group,0,1,5.7381243095733225e-05,0.0,1,1200
mlp_group,0,2,0.01586070800840389,0.0069203972816467285,1,1200
mlp_group,0,3,0.00015051003720145673,0.0,1,1200
mlp_group,0,4,0.00968202254443895,0.003460228443145752,1,1200
mlp_group,0,5,0.0007983012910699472,0.0,1,1200
mlp_group,0,6,0.009594436312909238,0.003460228443145752,1,1200
mlp_group,0,7,0.001014111257973127,0.0,1,1200
head,1,0,0.23832914936065208,0.06228375434875488,1,1200
head,1,1,0.44558189022063743,0.1487889289855957,1,1200
head,1,2,1.1805062364292098,0.29411762952804565,1,1200
head,1,3,0.41277185785293113,0.09342563152313232,1,1200
mlp_group,1,0,6.34327152511105e-05,0.0,1,1200
mlp_group,1,1,4.918714694213122e-05,0.0,1,1200
mlp_group,1,2,0.00014731021656189114,0.0,1,1200
mlp_group,1,3,8.739950135350227e-05,0.0,1,1200
mlp_group,1,4,6.662457599304616e-05,0.0,1,1200
mlp_group,1,5,0.000141255630296655,0.0,1,1200
mlp_group,1,6,9.423984738532454e-05,0.0,1,1200
mlp_group,1,7,0.00017322659550700337,0.0,1,1200
head,0,0,0.5802021958224941,0.16262978315353394,1,1300
head,0,1,1.1645995714061428,0.2733563780784607,1,1300
head,0,2,0.9978363253467251,0.245674729347229,1,1300
head,0,3,1.2759991027705837,0.2733563780784607,1,1300
mlp_group,0,0,0.000999933952698484,0.0,1,1300
mlp_group,0,1,5.3893818403594196e-05,0.0,1,1300
mlp_group,0,2,0.017174098669784144,0.0069203972816467285,1,1300
mlp_group,0,3,0.00014645747432950884,0.0,1,1300
mlp_group,0,4,0.010512874490814283,0.003460228443145752,1,1300
mlp_group,0,5,0.0007960869988892227,0.0,1,1300
mlp_group,0,6,0.00982351231505163,0.003460228443145752,1,1300
mlp_group,0,7,0.0010828414524439722,0.0,1,1300
head,1,0,0.2427669503085781,0.06228375434875488,1,1300
head,1,1,0.45890847223927267,0.15224915742874146,1,1300
head,1,2,1.202600512682693,0.29411762952804565,1,1300
head,1,3,0.4205899574153591,0.0968858003616333,1,1300
mlp_group,1,0,5.806397530250251e-05,0.0,1,1300
mlp_group,1,1,4.499219357967377e-05,0.0,1,1300
mlp_group,1,2,0.00013809477968607098,0.0,1,1300
mlp_group,1,3,8.036321378313005e-05,0.0,1,1300
mlp_group,1,4,6.115602445788682e-05,0.0,1,1300
mlp_group,1,5,0.00013126630801707506,0.0,1,1300
mlp_group,1,6,8.600059663876891e-05,0.0,1,1300
mlp_group,1,7,0.00016146691632457078,0.0,1,1300
head,0,0,0.587593961667153,0.15916955471038818,1,1400
head,0,1,1.1804376730433432,0.27681660652160645,1,1400
head,0,2,1.009706486176583,0.24913495779037476,1,1400
head,0,3,1.2917621025553672,0.27681660652160645,1,1400
mlp_group,0,0,0.0010138093930436298,0.0,1,1400
mlp_group,0,1,5.0937640480697155e-05,0.0,1,1400
mlp_group,0,2,0.018448796283337288,0.0069203972816467285,1,1400
mlp_group,0,3,0.0001430878764949739,0.0,1,1400
mlp_group,0,4,0.011371091168257408,0.003460228443145752,1,1400
mlp_group,0,5,0.0007972690946189687,0.0,1,1400
mlp_group,0,6,0.010026381511124782,0.003460228443145752,1,1400
mlp_group,0,7,0.001151664342614822,0.0,1,1400
head,1,0,0.2470384875050513,0.06228375434875488,1,1400
head,1,1,0.47197838516149204,0.15570932626724243,1,1400
head,1,2,1.2235447058192221,0.29411762952804565,1,1400
head,1,3,0.4282228538504569,0.1038062572479248,1,1400
mlp_group,1,0,5.351274739950895e-05,0.0,1,1400
mlp_group,1,1,4.141636600252241e-05,0.0,1,1400
mlp_group,1,2,0.00013029927504248917,0.0,1,1400
mlp_group,1,3,7.43559212423861e-05,0.0,1,1400
mlp_group,1,4,5.648758087772876e-05,0.0,1,1400
mlp_group,1,5,0.0001226381864398718,0.0,1,1400
mlp_group,1,6,7.898977492004633e-05,0.0,1,1400
mlp_group,1,7,0.00015147571684792638,0.0,1,1400
head,0,0,0.5947706811857643,0.16262978315353394,1,1500
head,0,1,1.1953576319647254,0.27681660652160645,1,1500
head,0,2,1.0214210265112342,0.24913495779037476,1,1500
head,0,3,1.306926321311039,0.2802768349647522,1,1500
mlp_group,0,0,0.0010292686783941463,0.0,1,1500
mlp_group,0,1,4.840607289224863e-05,0.0,1,1500
mlp_group,0,2,0.019690888075274415,0.0069203972816467285,1,1500
mlp_group,0,3,0.00014025255222804844,0.0,1,1500
mlp_group,0,4,0.012254136687261052,0.003460228443145752,1,1500
mlp_group,0,5,0.0008012965699890628,0.0,1,1500
mlp_group,0,6,0.010206210499745794,0.003460228443145752,1,1500
mlp_group,0,7,0.0012202508078189567,0.0,1,1500
head,1,0,0.2511552982759895,0.06228375434875488,1,1500
head,1,1,0.48481826118950266,0.15570932626724243,1,1500
head,1,2,1.243528794570011,0.2975778579711914,1,1500
head,1,3,0.4356947653723182,0.10726642608642578,1,1500
mlp_group,1,0,4.959442594554275e-05,0.0,1,1500
mlp_group,1,1,3.8352591218426824e-05,0.0,1,1500
mlp_group,1,2,0.00012370019976515323,0.0,1,1500
mlp_group,1,3,6.917701102793217e-05,0.0,1,1500
mlp_group,1,4,5.247007356956601e-05,0.0,1,1500
mlp_group,1,5,0.0001151246833615005,0.0,1,1500
mlp_group,1,6,7.295570685528219e-05,0.0,1,1500
mlp_group,1,7,0.000142934441100806,0.0,1,1500
head,0,0,0.6017647744811256,0.17301040887832642,1,1600
head,0,1,1.2094918252623756,0.2871972322463989,1,1600
head,0,2,1.0329967500365456,0.24913495779037476,1,1600
head,0,3,1.3215651275313576,0.2802768349647522,1,1600
mlp_group,0,0,0.0010465228187968023,0.0,1,1600
mlp_group,0,1,4.6226559788919985e-05,0.0,1,1600
mlp_group,0,2,0.02089697548217373,0.0069203972816467285,1,1600
mlp_group,0,3,0.0001378327506245114,0.0,1,1600
mlp_group,0,4,0.01315850351966219,0.0069203972816467285,1,1600
mlp_group,0,5,0.0008077574384515174,0.0,1,1600
mlp_group,0,6,0.010367964925535489,0.003460228443145752,1,1600
mlp_group,0,7,0.0012882253577117808,0.0,1,1600
head,1,0,0.2551488937533577,0.06574392318725586,1,1600
head,1,1,0.4974530996478279,0.15570932626724243,1,1600
head,1,2,1.2626563073790749,0.30103808641433716,1,1600
head,1,3,0.44302103535301285,0.10726642608642578,1,1600
mlp_group,1,0,4.618154343916103e-05,0.0,1,1600
mlp_group,1,1,3.56969831045717e-05,0.0,1,1600
mlp_group,1,2,0.00011804223322542384,0.0,1,1600
mlp_group,1,3,6.466911145253107e-05,0.0,1,1600
mlp_group,1,4,4.897370672551915e-05,0.0,1,1600
mlp_group,1,5,0.0001084895120584406,0.0,1,1600
mlp_group,1,6,6.7701876105275e-05,0.0,1,1600
mlp_group,1,7,0.0001355418426101096,0.0,1,1600
head,0,0,0.6085957095456251,0.17301040887832642,1,1700
head,0,1,1.22298888419391,0.2871972322463989,1,1700
head,0,2,1.0444670126271376,0.24913495779037476,1,1700
head,0,3,1.3357869789433607,0.2837370038032532,1,1700
mlp_group,0,0,0.001065797983756056,0.0,1,1700
mlp_group,0,1,4.430296758073382e-05,0.0,1,1700
mlp_group,0,2,0.022077056808484485,0.0069203972816467285,1,1700
mlp_group,0,3,0.00013571184172178619,0.0,1,1700
mlp_group,0,4,0.014082345409406116,0.01038062572479248,1,1700
mlp_group,0,5,0.0008163409620465245,0.0,1,1700
mlp_group,0,6,0.01051347632528632,0.003460228443145752,1,1700
mlp_group,0,7,0.0013554854049289133,0.0,1,1700
head,1,0,0.25902817700625747,0.06574392318725586,1,1700
head,1,1,0.5099077627492079,0.15570932626724243,1,1700
head,1,2,1.2810639545750746,0.2975778579711914,1,1700
head,1,3,0.4502265856099257,0.11072665452957153,1,1700
mlp_group,1,0,4.318594073993154e-05,0.0,1,1700
mlp_group,1,1,3.336088775540702e-05,0.0,1,1700
mlp_group,1,2,0.00011316394011373632,0.0,1,1700
mlp_group,1,3,6.067641152185388e-05,0.0,1,1700
mlp_group,1,4,4.589043601299636e-05,0.0,1,1700
mlp_group,1,5,0.00010257260510115884,0.0,1,1700
mlp_group,1,6,6.306878276518546e-05,0.0,1,1700
mlp_group,1,7,0.00012909905854030512,0.0,1,1700
head,0,0,0.6152651004413201,0.17301040887832642,1,1800
head,0,1,1.2359403066257073,0.2837370038032532,1,1800
head,0,2,1.0558427266696526,0.25259512662887573,1,1800
head,0,3,1.3496477298358514,0.2837370038032532,1,1800
mlp_group,0,0,0.001087594839191297,0.0,1,1800
mlp_group,0,1,4.2626754293451086e-05,0.0,1,1800
mlp_group,0,2,0.023232962183101336,0.0069203972816467285,1,1800
mlp_group,0,3,0.0001338227630185429,0.0,1,1800
mlp_group,0,4,0.015024235650344053,0.01038062572479248,1,1800
mlp_group,0,5,0.0008268227138614748,0.0,1,1800
mlp_group,0,6,0.010647569961292902,0.003460228443145752,1,1800
mlp_group,0,7,0.0014224441874830518,0.0,1,1800
head,1,0,0.26281067653690116,0.06574392318725586,1,1800
head,1,1,0.5222113422969414,0.15916955471038818,1,1800
head,1,2,1.2988264255145623,0.30449825525283813,1,1800
head,1,3,0.4573248021224572,0.11072665452957153,1,1800
mlp_group,1,0,4.053712109453045e-05,0.0,1,1800
mlp_group,1,1,3.1305989978136495e-05,0.0,1,1800
mlp_group,1,2,0.00010895662489929236,0.0,1,1800
mlp_group,1,3,5.7134679082082585e-05,0.0,1,1800
mlp_group,1,4,4.31530897913035e-05,0.0,1,1800
mlp_group,1,5,9.728066288516857e-05,0.0,1,1800
mlp_group,1,6,5.897525625186972e-05,0.0,1,1800
mlp_group,1,7,0.00012343174967099912,0.0,1,1800
head,0,0,0.6217819026678626,0.17301040887832642,1,1900
head,0,1,1.248427884933335,0.2837370038032532,1,1900
head,0,2,1.0671345165937964,0.25259512662887573,1,1900
head,0,3,1.3632154635160987,0.2837370038032532,1,1900
mlp_group,0,0,0.0011120067683805246,0.0,1,1900
mlp_group,0,1,4.113604882149957e-05,0.0,1,1900
mlp_group,0,2,0.024367859867197694,0.0069203972816467285,1,1900
mlp_group,0,3,0.0001321027120866347,0.0,1,1900
mlp_group,0,4,0.015977120307070436,0.01038062572479248,1,1900
mlp_group,0,5,0.0008391232004214544,0.0,1,1900
mlp_group,0,6,0.01076878728417796,0.003460228443145752,1,1900
mlp_group,0,7,0.0014880295384500641,0.0,1,1900
head,1,0,0.26650972878633183,0.06574392318725586,1,1900
head,1,1,0.5343790224760596,0.15916955471038818,1,1900
head,1,2,1.3160169295042579,0.30449825525283813,1,1900
head,1,3,0.46432580268083257,0.11072665452957153,1,1900
mlp_group,1,0,3.8168280298123136e-05,0.0,1,1900
mlp_group,1,1,2.9482816898962483e-05,0.0,1,1900
mlp_group,1,2,0.00010531694351811893,0.0,1,1900
mlp_group,1,3,5.39589709660504e-05,0.0,1,1900
mlp_group,1,4,4.0694027120480314e-05,0.0,1,1900
mlp_group,1,5,9.25066888157744e-05,0.0,1,1900
mlp_group,1,6,5.531212445930578e-05,0.0,1,1900
mlp_group,1,7,0.00011844808250316419,0.0,1,1900
head,0,0,0.6281652340439905,0.1764705777168274,1,2000
